neighbourhood_group,neighbourhood
Araba,AÃ±ana
Araba,AlegrÃ­a-Dulantzi
Araba,Amurrio
Araba,Aramaio
Araba,ArmiÃ±Ã³n
Araba,Arraia-Maeztu
Araba,Arrazua-Ubarrundia
Araba,Artziniega
Araba,Asparrena
Araba,Ayala
Araba,BaÃ±os de Ebro
Araba,Barrundia
Araba,Berantevilla
Araba,Bernedo
Araba,"Comunidad de Cuartango, IruÃ±a de Oca y Ribera Alta (Sierra Brava de Badaya)"
Araba,"Comunidad de LaÃ±o (Condado de TreviÃ±o), PipaÃ³n (LagrÃ¡n) y PeÃ±acerrada-Urizaharra"
Araba,Elburgo
Araba,Elciego
Araba,Elvillar
Araba,Eskuernaga
Araba,Harana
Araba,IruÃ±a Oka
Araba,Iruraiz-Gauna
Araba,Kanpezu
Araba,Kripan
Araba,Kuartango
Araba,Labastida
Araba,LagrÃ¡n
Araba,Laguardia
Araba,Lanciego
Araba,LantarÃ³n
Araba,Lapuebla de Labarca
Araba,Legutiano
Araba,Leza
Araba,Llodio
Araba,Moreda de Araba
Araba,Navaridas
Araba,Okondo
Araba,OyÃ³n
Araba,ParzonerÃ­a de Encia (Estado)
Araba,PeÃ±acerrada-Urizaharra
Araba,Ribera Alta
Araba,Ribera Baja
Araba,Salvatierra
Araba,Samaniego
Araba,San MillÃ¡n
Araba,Urduna-Orduna
Araba,Urkabustaiz
Araba,Valdegovia
Araba,Vitoria-Gasteiz
Araba,YÃ©cora
Araba,Zalduondo
Araba,Zambrana
Araba,Zigoitia
Araba,Zuia
Gipuzkoa,Abaltzisketa
Gipuzkoa,Aduna
Gipuzkoa,Aia
Gipuzkoa,Aizarnazabal
Gipuzkoa,Albiztur
Gipuzkoa,Alegia
Gipuzkoa,Alkiza
Gipuzkoa,Altzaga
Gipuzkoa,Altzo
Gipuzkoa,Amezketa
Gipuzkoa,Andoain
Gipuzkoa,Anoeta
Gipuzkoa,Antzuola
Gipuzkoa,Arama
Gipuzkoa,Aretxabaleta
Gipuzkoa,Arrasate
Gipuzkoa,Asteasu
Gipuzkoa,Astigarraga
Gipuzkoa,Ataun
Gipuzkoa,Azkoitia
Gipuzkoa,Azpeitia
Gipuzkoa,Baliarrain
Gipuzkoa,Beasain
Gipuzkoa,Beizama
Gipuzkoa,Belauntza
Gipuzkoa,Berastegi
Gipuzkoa,Bergara
Gipuzkoa,Berrobi
Gipuzkoa,Bidegoian
Gipuzkoa,Comunidad de Amezkete y Ordizia (Sierra de Aralar)
Gipuzkoa,Deba
Gipuzkoa,Donostia-San Sebastian
Gipuzkoa,Eibar
Gipuzkoa,Elduain
Gipuzkoa,Elgeta
Gipuzkoa,Elgoibar
Gipuzkoa,Errenteria
Gipuzkoa,Errezil
Gipuzkoa,Eskoriatza
Gipuzkoa,Ezkio-Itsaso
Gipuzkoa,Gabiria
Gipuzkoa,Gaintza
Gipuzkoa,Gaztelu
Gipuzkoa,Getaria
Gipuzkoa,Hernani
Gipuzkoa,Hernialde
Gipuzkoa,Hondarribia
Gipuzkoa,Ibarra
Gipuzkoa,Idiazabal
Gipuzkoa,Ikaztegieta
Gipuzkoa,Irun
Gipuzkoa,Irura
Gipuzkoa,Itsasondo
Gipuzkoa,Larraul
Gipuzkoa,Lasarte-Oria
Gipuzkoa,Lazkao
Gipuzkoa,Leaburu
Gipuzkoa,Legazpi
Gipuzkoa,Legorreta
Gipuzkoa,Leintz-Gatzaga
Gipuzkoa,Lezo
Gipuzkoa,Lizartza
Gipuzkoa,Mendaro
Gipuzkoa,Mutiloa
Gipuzkoa,Mutriku
Gipuzkoa,OÃ±ati
Gipuzkoa,Oiartzun
Gipuzkoa,Olaberria
Gipuzkoa,Ordizia
Gipuzkoa,Orendain
Gipuzkoa,Orexa
Gipuzkoa,Orio
Gipuzkoa,Ormaiztegi
Gipuzkoa,ParzonerÃ­a de Gipuzkoa y Araba
Gipuzkoa,Pasaia
Gipuzkoa,Segura
Gipuzkoa,Soraluze
Gipuzkoa,Tolosa
Gipuzkoa,Urnieta
Gipuzkoa,Urretxu
Gipuzkoa,Usurbil
Gipuzkoa,Villabona
Gipuzkoa,Zaldibia
Gipuzkoa,Zarautz
Gipuzkoa,Zegama
Gipuzkoa,Zerain
Gipuzkoa,Zestoa
Gipuzkoa,Zizurkil
Gipuzkoa,Zumaia
Gipuzkoa,Zumarraga
Bizkaia,AbadiÃ±o
Bizkaia,Abanto y CiÃ©rvana-Abanto Zierbena
Bizkaia,Ajangiz
Bizkaia,Alonsotegi
Bizkaia,Amorebieta-Etxano
Bizkaia,Amoroto
Bizkaia,Arakaldo
Bizkaia,Arantzazu
Bizkaia,Areatza
Bizkaia,Arrankudiaga
Bizkaia,Arratzu
Bizkaia,Arrieta
Bizkaia,Arrigorriaga
Bizkaia,Artea
Bizkaia,Artzentales
Bizkaia,Atxondo
Bizkaia,Aulesti
Bizkaia,Bakio
Bizkaia,Balmaseda
Bizkaia,Barakaldo
Bizkaia,Barrika
Bizkaia,Basauri
Bizkaia,Bedia
Bizkaia,Berango
Bizkaia,Bermeo
Bizkaia,Berriatua
Bizkaia,Berriz
Bizkaia,Bilbao
Bizkaia,Busturia
Bizkaia,Derio
Bizkaia,Dima
Bizkaia,Durango
Bizkaia,Ea
Bizkaia,Elantxobe
Bizkaia,Elorrio
Bizkaia,Erandio
Bizkaia,EreÃ±o
Bizkaia,Ermua
Bizkaia,Errigoiti
Bizkaia,Etxebarria
Bizkaia,"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko Elizatea"
Bizkaia,Forua
Bizkaia,Fruiz
Bizkaia,Galdakao
Bizkaia,Galdames
Bizkaia,Gamiz-Fika
Bizkaia,GÃºeÃ±es
Bizkaia,Garay
Bizkaia,Gatika
Bizkaia,Gautegiz Arteaga
Bizkaia,Gernika-Lumo
Bizkaia,Getxo
Bizkaia,Gizaburuaga
Bizkaia,Gordexola
Bizkaia,Gorliz
Bizkaia,Ibarrangelu
Bizkaia,Igorre
Bizkaia,Ispaster
Bizkaia,Iurreta
Bizkaia,Izurtza
Bizkaia,Karrantza Harana
Bizkaia,Kortezubi
Bizkaia,Lanestosa
Bizkaia,Larrabetzu
Bizkaia,Laukiz
Bizkaia,Leioa
Bizkaia,Lekeitio
Bizkaia,Lemoa
Bizkaia,Lemoiz
Bizkaia,Lezama
Bizkaia,Loiu
Bizkaia,MaÃ±aria
Bizkaia,Mallabia
Bizkaia,Markina-Xemein
Bizkaia,Maruri-Jatabe
Bizkaia,MeÃ±aka
Bizkaia,Mendata
Bizkaia,Mendexa
Bizkaia,Morga
Bizkaia,Mundaka
Bizkaia,Mungia
Bizkaia,Munitibar-Arbatzegi Gerrikaitz
Bizkaia,Murueta
Bizkaia,Muskiz
Bizkaia,Muxika
Bizkaia,Nabarniz
Bizkaia,Ondarroa
Bizkaia,Orozko
Bizkaia,Ortuella
Bizkaia,Otxandio
Bizkaia,Plentzia
Bizkaia,Portugalete
Bizkaia,Santurtzi
Bizkaia,Sestao
Bizkaia,Sondika
Bizkaia,Sopelana
Bizkaia,Sopuerta
Bizkaia,Sukarrieta
Bizkaia,Trucios-Turtzioz
Bizkaia,Ubide
Bizkaia,Ugao-Miraballes
Bizkaia,Urduliz
Bizkaia,Valle de TrÃ¡paga-Trapagaran
Bizkaia,Zaldibar
Bizkaia,Zalla
Bizkaia,Zamudio
Bizkaia,Zaratamo
Bizkaia,Zeanuri
Bizkaia,Zeberio
Bizkaia,Zierbena
